from_user,in_reply_to_screen_name,text,user_mentions__001,user_mentions__002,user_mentions__003,user_mentions__004
SalvadoorA,NaN,RT @Sra_Catolica: DIOS NO TIENE UBER PERO ES EL CHOFER DE MI VIDA.,Sra_Catolica,,,
chikgue,Lilith_mye,"@Lilith_mye si miren, ayer me fui de fiesta y amanec� con un desconocido. Dejen que me mande a mi casa en Uber y me pongo las pilas. __",Lilith_mye,,,
OmarJoseSanchez,NaN,RT @GenPenaloza: PROTESTAS contra UBER no impedir�n avance tecnol�gico. A comienzos del siglo XX los cocheros de caballos protestaron contr_,GenPenaloza,,,
asaldana79,NaN,�Me encanta @Uber_DF! �Reg�strate utilizando tu c�digo promocional y obt�n $�150 de descuento en tu primer viaje! https://t.co/pZXCqdBeWs,Uber_DF,,,
jc_vazquez,NaN,RT @El_Universal_Mx: #QueNoSeTePase Taxistas crean frente contra #Uber y regulaci�n de estas empresas http://t.co/pCrpwK3mjt http://t.co/9m_,El_Universal_Mx,,,
fcolin,maqukamex,@maqukamex @Uber_DF s�lo paciencia. :/ y que pronto est�s en circulaci�n.,maqukamex,Uber_DF,,
lopezv771,NaN,RT @El_Universal_Mx: #QueNoSeTePase Taxistas crean frente contra #Uber y regulaci�n de estas empresas http://t.co/pCrpwK3mjt http://t.co/9m_,El_Universal_Mx,,,
Mariaghernand1,NaN,RT @El_Universal_Mx: #ElCaballito Uber y el juego a los ruleteros: taxistas no han desistido en su idea de poner freno al nuevo servicio ht_,El_Universal_Mx,,,
mostroman,NaN,RT @AristeguiOnline: Taxistas piden que haya menos Uber en el #DF http://t.co/lj0S3rM9ng,AristeguiOnline,,,
carlosrvargasc,NaN,"RT @conslameiras: --> _@Chertorivski: .@ManceraMiguelMX explica hoy la regulaci�n de Uber, Cabifay y otras plataformas en @REFORMACOM http:_",conslameiras,Chertorivski,ManceraMiguelMX,REFORMACOM
Uber_GDL,josece,"@josece Hola Jos�, por favor env�anos tu correo electr�nico v�a DM :)",josece,,,
conslameiras,NaN,"--> _@Chertorivski: .@ManceraMiguelMX explica hoy la regulaci�n de Uber, Cabifay y otras plataformas en @REFORMACOM http://t.co/NWUK7y8pXr_",Chertorivski,ManceraMiguelMX,REFORMACOM,
mostroman,NaN,RT @AristeguiOnline: #Quenosetepase Taxistas piden que haya menos Uber en el DF http://t.co/hxzgilbJF6,AristeguiOnline,,,
mostroman,NaN,RT @AristeguiOnline: Taxistas piden que haya menos Uber en el DF  http://t.co/pok7BwIOhr,AristeguiOnline,,,
Uber_GDL,elNennuco,@elNennuco Por favor escr�benos a apoyogdl@uber.com para revisarlo :),elNennuco,,,
ElenaElenagold,NaN,RT @NoticiasCaracol: Podr�an bloquear aplicaci�n m�vil de Uber en Colombia http://t.co/OenKCsnLtA,NoticiasCaracol,,,
Uber_GDL,korkok,@korkok En este momento la tarifa es calculada :),korkok,,,
chaiitto,NaN,RT @FlyingPoop123: DIOS NO TIENE UBER PERO ES EL CHOFER DE MI VIDA.,FlyingPoop123,,,
Pacacho1,NaN,RT @El_Universal_Mx: #QueNoSeTePase Taxistas crean frente contra #Uber y regulaci�n de estas empresas http://t.co/pCrpwK3mjt http://t.co/9m_,El_Universal_Mx,,,
GABRIELSODI,Uber_DF,"@Uber_DF de manera que me cobran un servicio que no se lleva a cabo conmigo, lo denuncio y borran el tweet, mmm esto me sabe a fraude",Uber_DF,,,
loslunaresdeana,El_Universal_Mx,@El_Universal_Mx: Taxistas crean frente contra #Uber  http://t.co/1vQJDOLOWz http://t.co/HZNp1S1pQV // la corrupci�n de los taxistas seguir�,El_Universal_Mx,,,
GallegosNestor,NaN,"RT @unocero: #UnoceroEnCorto con @Aura_ : D�a del Emoji, Plut�n, Regulaci�n de Uber y Cabify. https://t.co/uCNE5NSV7q",unocero,Aura_,,
Alex_Cruz_07,NaN,RT @JLozanoA: Los taxistas #CDMX en contra de la competencia y los derechos del consumidor. #UberSeQueda @El_Universal_Mx ____ http://t.co/Pq_,JLozanoA,El_Universal_Mx,,
Marcos5501,NaN,"Art�culo  de @carlosmartinezv sobre la ""regulaci�n""  Uber  Plantea una visi�n  integral de la problem�tica. http://t.co/e2teegsaj0",carlosmartinezv,,,
soycuauhtemoc,NaN,"RT @Chertorivski: .@ManceraMiguelMX explica hoy la regulaci�n de Uber, Cabifay y otras plataformas en @REFORMACOM http://t.co/WHwySq6oNz",Chertorivski,ManceraMiguelMX,REFORMACOM,
sanarango75,sanarango75,@sanarango75: Apoyo __% a UBER!! @Uber_Col #UberSeQueda #Uber #Medellin http://t.co/kkwvJhA6QE,sanarango75,Uber_Col,,
JJFDA,NaN,"RT @Chertorivski: .@ManceraMiguelMX explica hoy la regulaci�n de Uber, Cabifay y otras plataformas en @REFORMACOM http://t.co/WHwySq6oNz",Chertorivski,ManceraMiguelMX,REFORMACOM,
bren_villanueva,NaN,"Wow cuando uno piensa que no puede amarlos m�s  :) #Uber ahora podr�a salvar tu vida, literalmente https://t.co/OJ0DGaqmP1 v�a @merca20",Merca20,,,
fernandaleons,NaN,RT @Sra_Catolica: DIOS NO TIENE UBER PERO ES EL CHOFER DE MI VIDA.,Sra_Catolica,,,
KareenSullivan,NaN,RT @Sra_Catolica: DIOS NO TIENE UBER PERO ES EL CHOFER DE MI VIDA.,Sra_Catolica,,,
scabarcas40,NaN,RT @NoticiasCaracol: Podr�an bloquear aplicaci�n m�vil de Uber en Colombia http://t.co/NXSPmmg6gk http://t.co/9rxX1MwGA9,NoticiasCaracol,,,
diegodelunamx,NaN,RT @El_Universal_Mx: #QueNoSeTePase Taxistas crean frente contra #Uber y regulaci�n de estas empresas http://t.co/pCrpwK3mjt http://t.co/9m_,El_Universal_Mx,,,
ernsalcido,QuadratinMexico,@QuadratinMexico. Uber si es una fuga de capital y hay que quejarse pero de las reformas no? #doblemoral,QuadratinMexico,,,
alekzrasa,NaN,RT @El_Universal_Mx: #QueNoSeTePase Taxistas crean frente contra #Uber y regulaci�n de estas empresas http://t.co/pCrpwK3mjt http://t.co/9m_,El_Universal_Mx,,,
F4U_4,gtlaseca,@gtlaseca UBER los puso a temblar � ( usuario ),gtlaseca,,,
iscfernandoluna,NaN,RT @El_Universal_Mx: #QueNoSeTePase Taxistas crean frente contra #Uber y regulaci�n de estas empresas http://t.co/pCrpwK3mjt http://t.co/9m_,El_Universal_Mx,,,
Quejitas77,NaN,RT @ClaudiaShelley: Esta persona ( @ManceraMiguelMX ) vio perfecto la oportunidad de sacar m�s dinero gracias a @Uber y @cabify_Mexico #Opo_,ClaudiaShelley,ManceraMiguelMX,Uber,Cabify_Mexico
Chertorivski,NaN,".@ManceraMiguelMX explica hoy la regulaci�n de Uber, Cabifay y otras plataformas en @REFORMACOM http://t.co/WHwySq6oNz",ManceraMiguelMX,REFORMACOM,,
_PGPath_,NaN,"RT @MrReyKing: No s� por qu� en M�xico se quejan tanto de Uber, no es como que m�s de la mitad de la poblaci�n tenga tarjeta, smartphone y _",MrReyKing,,,
elmasiozare,NaN,RT @Sra_Catolica: DIOS NO TIENE UBER PERO ES EL CHOFER DE MI VIDA.,Sra_Catolica,,,
Babayita57,NaN,"""@Sra_Catolica: DIOS NO TIENE UBER PERO ES EL CHOFER DE MI VIDA."":)))",Sra_Catolica,,,
NICOLAZAVENDANO,NaN,RT @El_Universal_Mx: #QueNoSeTePase Taxistas crean frente contra #Uber y regulaci�n de estas empresas http://t.co/pCrpwK3mjt http://t.co/9m_,El_Universal_Mx,,,
rayb13s,NaN,RT @El_Universal_Mx: #QueNoSeTePase Taxistas crean frente contra #Uber y regulaci�n de estas empresas http://t.co/pCrpwK3mjt http://t.co/9m_,El_Universal_Mx,,,
CeciliaVV_,NaN,RT @El_Universal_Mx: #QueNoSeTePase Taxistas crean frente contra #Uber y regulaci�n de estas empresas http://t.co/pCrpwK3mjt http://t.co/9m_,El_Universal_Mx,,,
periodicoam,NaN,.@Uber enfrenta a alcalde @BilldeBlasio por acceso a Nueva York http://t.co/8vhGkUSlHg http://t.co/2oKgNixzzF,Uber,BilldeBlasio,,
FructuosoFE,NaN,RT @lajornadaonline: Proceder�n #Taxistas del DF contra legalizaci�n de #Uber y #Cabify http://t.co/FRLKVfXl2S http://t.co/mVSHE7UKPS,lajornadaonline,,,
HugoRamosRamire,NaN,RT @El_Universal_Mx: #ElCaballito Uber y el juego a los ruleteros: taxistas no han desistido en su idea de poner freno al nuevo servicio ht_,El_Universal_Mx,,,
